status	priority	category	file	blocks	parity_severity	parity_flags	correct_longest_rate	correct_most_technical_rate	readability_severity	readability_flags	manual_scope	validation	notes
in_progress	P1	databases	modules/quiz-app/src/main/resources/seed/mcq/databases/postgresql-interview.json	55	CRITICAL	35	0.891	0.782	LOW	2	full-file manual review	schema OK; Q1-Q20 parity-clean	Manual batches Q1-Q4, Q5-Q8, Q9-Q12, Q13-Q16 and Q17-Q20 completed with mental-model workflow; continue from Q21.
pending	P1	programming-languages	modules/quiz-app/src/main/resources/seed/mcq/programming-languages/java/java-concurrency-interview.json	56	CRITICAL	49	0.893	0.554	MEDIUM	12	full-file manual review		
pending	P1	reactive	modules/quiz-app/src/main/resources/seed/mcq/reactive/project-reactor-interview.json	48	CRITICAL	47	0.979	0.979	LOW	2	full-file manual review		
pending	P1	design-patterns	modules/quiz-app/src/main/resources/seed/mcq/design-patterns/design-patterns-interview.json	48	CRITICAL	46	1.000	0.688	MEDIUM	1	full-file manual review		
pending	P1	programming-languages	modules/quiz-app/src/main/resources/seed/mcq/programming-languages/java/java-collections-interview.json	46	CRITICAL	46	1.000	1.000	MEDIUM	8	full-file manual review		
pending	P1	reactive	modules/quiz-app/src/main/resources/seed/mcq/reactive/rxjava-interview.json	46	CRITICAL	46	1.000	0.891	MEDIUM	12	full-file manual review		
pending	P1	architecture	modules/quiz-app/src/main/resources/seed/mcq/architecture/hexagonal-architecture-interview.json	45	CRITICAL	45	1.000	0.911	MEDIUM	5	full-file manual review		
pending	P1	programming-languages	modules/quiz-app/src/main/resources/seed/mcq/programming-languages/kotlin/kotlin-interview.json	45	CRITICAL	45	1.000	0.844	NONE	0	full-file manual review		
pending	P1	security	modules/quiz-app/src/main/resources/seed/mcq/security/application-security-interview.json	45	CRITICAL	45	1.000	1.000	MEDIUM	4	full-file manual review		
pending	P1	security	modules/quiz-app/src/main/resources/seed/mcq/security/authentication-authorization-patterns-interview.json	45	CRITICAL	45	1.000	1.000	LOW	3	full-file manual review		
pending	P1	security	modules/quiz-app/src/main/resources/seed/mcq/security/owasp-top10-interview.json	45	CRITICAL	45	1.000	1.000	LOW	4	full-file manual review		
pending	P1	security	modules/quiz-app/src/main/resources/seed/mcq/security/tls-ssl-interview.json	45	CRITICAL	45	1.000	0.978	MEDIUM	5	full-file manual review		
pending	P1	testing	modules/quiz-app/src/main/resources/seed/mcq/testing/mockito-interview.json	45	CRITICAL	45	0.889	0.822	LOW	1	full-file manual review		
pending	P1	testing	modules/quiz-app/src/main/resources/seed/mcq/testing/test-strategies-interview.json	45	CRITICAL	45	1.000	1.000	MEDIUM	12	full-file manual review		
pending	P1	testing	modules/quiz-app/src/main/resources/seed/mcq/testing/unit-testing-interview.json	45	CRITICAL	45	1.000	1.000	MEDIUM	9	full-file manual review		
pending	P1	databases	modules/quiz-app/src/main/resources/seed/mcq/databases/cassandra-interview.json	44	CRITICAL	44	1.000	1.000	MEDIUM	9	full-file manual review		
pending	P1	databases	modules/quiz-app/src/main/resources/seed/mcq/databases/elasticsearch-interview.json	44	CRITICAL	44	1.000	0.977	MEDIUM	5	full-file manual review		
pending	P1	databases	modules/quiz-app/src/main/resources/seed/mcq/databases/hibernate-interview.json	50	CRITICAL	44	0.920	0.760	NONE	0	full-file manual review		
pending	P1	databases	modules/quiz-app/src/main/resources/seed/mcq/databases/mongodb-interview.json	46	CRITICAL	44	0.848	0.935	MEDIUM	2	full-file manual review		
pending	P1	architecture	modules/quiz-app/src/main/resources/seed/mcq/architecture/networking-interview.json	43	CRITICAL	43	1.000	1.000	MEDIUM	7	full-file manual review		
pending	P1	architecture	modules/quiz-app/src/main/resources/seed/mcq/architecture/resilience-patterns-interview.json	43	CRITICAL	43	1.000	1.000	MEDIUM	7	full-file manual review		
pending	P1	architecture	modules/quiz-app/src/main/resources/seed/mcq/architecture/saga-pattern-interview.json	43	CRITICAL	43	1.000	0.977	MEDIUM	11	full-file manual review		
pending	P1	databases	modules/quiz-app/src/main/resources/seed/mcq/databases/redis-interview.json	43	CRITICAL	43	1.000	1.000	MEDIUM	5	full-file manual review		
pending	P1	devops	modules/quiz-app/src/main/resources/seed/mcq/devops/helm-interview.json	43	CRITICAL	43	1.000	1.000	LOW	4	full-file manual review		
pending	P1	frameworks	modules/quiz-app/src/main/resources/seed/mcq/frameworks/spring/spring-batch-interview.json	43	CRITICAL	43	1.000	1.000	MEDIUM	4	full-file manual review		
pending	P1	frameworks	modules/quiz-app/src/main/resources/seed/mcq/frameworks/spring/spring-boot-actuator-interview.json	43	CRITICAL	43	1.000	1.000	LOW	3	full-file manual review		
pending	P1	frameworks	modules/quiz-app/src/main/resources/seed/mcq/frameworks/spring/spring-cloud-interview.json	43	CRITICAL	43	1.000	1.000	MEDIUM	2	full-file manual review		
pending	P1	frameworks	modules/quiz-app/src/main/resources/seed/mcq/frameworks/spring/spring-mvc-interview.json	43	CRITICAL	43	1.000	1.000	MEDIUM	15	full-file manual review		
pending	P1	frameworks	modules/quiz-app/src/main/resources/seed/mcq/frameworks/spring/spring-security-interview.json	46	CRITICAL	43	0.957	0.935	MEDIUM	1	full-file manual review		
pending	P1	programming-languages	modules/quiz-app/src/main/resources/seed/mcq/programming-languages/java/java-oop-interview.json	43	CRITICAL	43	1.000	0.977	LOW	6	full-file manual review		
pending	P1	programming-languages	modules/quiz-app/src/main/resources/seed/mcq/programming-languages/kotlin/kotlin-collections-interview.json	43	CRITICAL	43	1.000	0.907	MEDIUM	13	full-file manual review		
pending	P1	programming-languages	modules/quiz-app/src/main/resources/seed/mcq/programming-languages/kotlin/kotlin-serialization-interview.json	43	CRITICAL	43	1.000	1.000	MEDIUM	4	full-file manual review		
pending	P1	security	modules/quiz-app/src/main/resources/seed/mcq/security/jwt-interview.json	43	CRITICAL	43	1.000	1.000	MEDIUM	6	full-file manual review		
pending	P1	testing	modules/quiz-app/src/main/resources/seed/mcq/testing/test-automation-interview.json	50	CRITICAL	43	0.340	0.720	MEDIUM	8	full-file manual review		
pending	P1	api	modules/quiz-app/src/main/resources/seed/mcq/api/openapi-swagger-interview.json	42	CRITICAL	42	1.000	1.000	MEDIUM	3	full-file manual review		
pending	P1	architecture	modules/quiz-app/src/main/resources/seed/mcq/architecture/caching-strategies-interview.json	42	CRITICAL	42	1.000	1.000	MEDIUM	6	full-file manual review		
pending	P1	architecture	modules/quiz-app/src/main/resources/seed/mcq/architecture/cap-theorem-interview.json	42	CRITICAL	42	1.000	0.833	LOW	5	full-file manual review		
pending	P1	architecture	modules/quiz-app/src/main/resources/seed/mcq/architecture/consistency-patterns-interview.json	42	CRITICAL	42	0.952	0.952	MEDIUM	1	full-file manual review		
pending	P1	architecture	modules/quiz-app/src/main/resources/seed/mcq/architecture/microservices-interview.json	42	CRITICAL	42	1.000	0.952	MEDIUM	18	full-file manual review		
pending	P1	databases	modules/quiz-app/src/main/resources/seed/mcq/databases/database-transactions-interview.json	42	CRITICAL	42	1.000	1.000	LOW	9	full-file manual review		
pending	P1	databases	modules/quiz-app/src/main/resources/seed/mcq/databases/flyway-liquibase-interview.json	42	CRITICAL	42	1.000	0.905	LOW	4	full-file manual review		
pending	P1	databases	modules/quiz-app/src/main/resources/seed/mcq/databases/sql-interview.json	53	CRITICAL	42	0.849	0.528	MEDIUM	1	full-file manual review		
pending	P1	devops	modules/quiz-app/src/main/resources/seed/mcq/devops/argocd-interview.json	42	CRITICAL	42	1.000	1.000	MEDIUM	9	full-file manual review		
pending	P1	devops	modules/quiz-app/src/main/resources/seed/mcq/devops/terraform-interview.json	42	CRITICAL	42	1.000	1.000	LOW	3	full-file manual review		
pending	P1	frameworks	modules/quiz-app/src/main/resources/seed/mcq/frameworks/spring/spring-data-jpa-interview.json	43	CRITICAL	42	0.977	0.977	MEDIUM	6	full-file manual review		
pending	P1	performance	modules/quiz-app/src/main/resources/seed/mcq/performance/application-profiling-interview.json	42	CRITICAL	42	1.000	0.976	MEDIUM	11	full-file manual review		
pending	P1	performance	modules/quiz-app/src/main/resources/seed/mcq/performance/performance-testing-interview.json	42	CRITICAL	42	1.000	1.000	MEDIUM	10	full-file manual review		
pending	P1	programming-languages	modules/quiz-app/src/main/resources/seed/mcq/programming-languages/java/java-17-21-interview.json	42	CRITICAL	42	1.000	0.952	MEDIUM	2	full-file manual review		
pending	P1	programming-languages	modules/quiz-app/src/main/resources/seed/mcq/programming-languages/java/java-8-interview.json	42	CRITICAL	42	0.976	0.976	LOW	6	full-file manual review		
pending	P1	programming-languages	modules/quiz-app/src/main/resources/seed/mcq/programming-languages/java/java-annotations-interview.json	43	CRITICAL	42	0.977	0.791	NONE	0	full-file manual review		
pending	P1	programming-languages	modules/quiz-app/src/main/resources/seed/mcq/programming-languages/java/java-exceptions-interview.json	42	CRITICAL	42	0.976	0.714	LOW	5	full-file manual review		
pending	P1	programming-languages	modules/quiz-app/src/main/resources/seed/mcq/programming-languages/java/java-stream-interview.json	42	CRITICAL	42	1.000	0.952	LOW	8	full-file manual review		
pending	P1	security	modules/quiz-app/src/main/resources/seed/mcq/security/oauth2-interview.json	42	CRITICAL	42	1.000	1.000	LOW	4	full-file manual review		
pending	P1	testing	modules/quiz-app/src/main/resources/seed/mcq/testing/contract-testing-interview.json	42	CRITICAL	42	1.000	1.000	MEDIUM	16	full-file manual review		
pending	P1	architecture	modules/quiz-app/src/main/resources/seed/mcq/architecture/clean-architecture-interview.json	41	CRITICAL	41	1.000	0.902	LOW	10	full-file manual review		
pending	P1	architecture	modules/quiz-app/src/main/resources/seed/mcq/architecture/cqrs-event-sourcing-interview.json	41	CRITICAL	41	1.000	0.951	LOW	4	full-file manual review		
