interview_category	has_general	interview_files	general_files
ai-ml	no	9	0
algorithms	yes	18	134
api	no	8	0
architecture	yes	19	25
behavioral	no	6	0
cicd	no	2	0
cloud	no	6	0
code-quality	no	7	0
data-engineering	no	8	0
databases	yes	18	113
design-patterns	no	1	0
devops	no	13	0
frameworks	yes	36	112
jvm	no	2	0
leadership	no	7	0
logging	no	1	0
messaging	no	7	0
monitoring	yes	9	35
performance	no	7	0
preparation	no	1	0
programming-languages	no	46	0
reactive	no	6	0
security	yes	10	18
system-design	no	7	0
testing	yes	14	52
