noteId,containerId,projectName,taskTitle,action,timestamp
N-P-656f7815-e084-45f5-9d85-7697c382cbc1,P-656f7815-e084-45f5-9d85-7697c382cbc1,?,onboarding-welcome,deleted,2026-05-21
N-P-ec8f69a2-08ec-4670-96b7-1f5ae3f6fde0,P-ec8f69a2-08ec-4670-96b7-1f5ae3f6fde0,?,onboarding-quickstart,deleted,2026-05-21
N-T-05feef53-b335-4cd0-82b8-67c743b4c5f9,T-05feef53-b335-4cd0-82b8-67c743b4c5f9,?,onboarding-create-project,deleted,2026-05-21
N-T-068e8cb0-a313-431b-97b2-1cb616e9a6d9,T-068e8cb0-a313-431b-97b2-1cb616e9a6d9,?,onboarding-focus-mode,deleted,2026-05-21
N-T-06efc751-c4be-4bd9-8513-0a1dffad205b,T-06efc751-c4be-4bd9-8513-0a1dffad205b,?,onboarding-pomodoro,deleted,2026-05-21
N-T-12b633f5-a660-4b00-b08c-3aef92275ff4,T-12b633f5-a660-4b00-b08c-3aef92275ff4,?,onboarding-cleaning-checklist,deleted,2026-05-21
N-T-14ad2fad-17ff-416a-98d1-138cdb31718c,T-14ad2fad-17ff-416a-98d1-138cdb31718c,?,onboarding-meetings,deleted,2026-05-21
N-T-19bc6867-2293-4297-8960-ab891553b450,T-19bc6867-2293-4297-8960-ab891553b450,?,onboarding-vacation,deleted,2026-05-21
N-T-19f367a8-9293-4f86-ab18-d7ae997656d8,T-19f367a8-9293-4f86-ab18-d7ae997656d8,?,onboarding-someday,deleted,2026-05-21
N-T-20bc2758-6ac2-4743-969d-7c2f1d9224c2,T-20bc2758-6ac2-4743-969d-7c2f1d9224c2,?,Встреча 31.01.2025 клуб Медведь,deleted,2026-05-21
N-T-6db86822-1353-4f84-aa69-a4e262ec4f66,T-6db86822-1353-4f84-aa69-a4e262ec4f66,?,Поискать в ChatGPT про генерализированный звук,deleted,2026-05-21
N-T-2e2a1429-0126-408d-aabe-4d3740fc62cd,T-2e2a1429-0126-408d-aabe-4d3740fc62cd,?,Jira CHECK-4235 OMS доделали,deleted,2026-05-21
N-T-527ef46d-4383-429b-aa87-852ad8eb7580,T-527ef46d-4383-429b-aa87-852ad8eb7580,Личное,Долгосрочные планы,reformat,2026-05-21
N-T-0aa8ad6e-b77f-4a07-9ed2-02c900a83bc6,T-0aa8ad6e-b77f-4a07-9ed2-02c900a83bc6,Личное,Идеи путешествий (was: Путешествия 2025),reformat+rename,2026-05-21
N-T-69d92560-6e12-43aa-978d-0ebcfd0af61b,T-69d92560-6e12-43aa-978d-0ebcfd0af61b,Личное,Постановка целей по SMART,reformat,2026-05-21
N-T-1ada30b3-9f3c-4d6a-867c-727a3410e8b7,T-1ada30b3-9f3c-4d6a-867c-727a3410e8b7,Личное,Хэштеги для Instagram,reformat,2026-05-21
N-T-03d19c79-b207-4f98-80ca-a0bf81a13086,T-03d19c79-b207-4f98-80ca-a0bf81a13086,Здоровье,План приема добавок,reformat,2026-05-21
N-T-03c3a201-c596-4fd7-819a-3a84afafb0d2,T-03c3a201-c596-4fd7-819a-3a84afafb0d2,Здоровье,Лекарственные препараты и БАДы,reformat,2026-05-21
N-T-1c47fd45-c95c-48be-84f2-5c4eb13fa5cf,T-1c47fd45-c95c-48be-84f2-5c4eb13fa5cf,Здоровье,Гормонозаместительная терапия (план от 20.02.2025),reformat,2026-05-21
N-T-2115f5c1-013f-4024-bfb5-861d15cca3bc,T-2115f5c1-013f-4024-bfb5-861d15cca3bc,Здоровье,План приёма Фенотропила,reformat,2026-05-22
N-T-60b4ced6-5590-4568-aa57-83fa33f36bec,T-60b4ced6-5590-4568-aa57-83fa33f36bec,Здоровье,Программа тренировок,reformat,2026-05-22
N-T-43988194-0ce2-4701-b7d6-0ad63e72109a,T-43988194-0ce2-4701-b7d6-0ad63e72109a,Работа,Консолидировать информацию по квотам,reformat,2026-05-22
N-T-5414ddbe-301c-4fff-b2b9-e477cc882094,T-5414ddbe-301c-4fff-b2b9-e477cc882094,Психология,FOMO (страх упустить что-то важное),reformat,2026-05-22
N-T-0ddd6f8a-c79d-43c6-8392-220b02787adb,T-0ddd6f8a-c79d-43c6-8392-220b02787adb,Психология,Как перестать тревожиться на работе (ИТ),reformat,2026-05-22
N-T-1a3d687e-535d-46e6-86fa-5ffce8b57f12,T-1a3d687e-535d-46e6-86fa-5ffce8b57f12,Психология,Цитаты которые нашли отклик,reformat,2026-05-22
N-T-114432c8-50c2-40ae-b820-e08b78ea244e,T-114432c8-50c2-40ae-b820-e08b78ea244e,Психология,Мои положительные черты,reformat,2026-05-22
N-T-25001e7e-8f2f-4d25-8cb8-5dd15de77190,T-25001e7e-8f2f-4d25-8cb8-5dd15de77190,?,Ресурсы SingularityApp (был онбординг),reformat,2026-05-22
N-T-26c3ffe5-7215-4ec9-8bd5-763b863fb2ad,T-26c3ffe5-7215-4ec9-8bd5-763b863fb2ad,?,Создание проектов (был онбординг),reformat,2026-05-23
N-T-625b8648-00fd-42be-b92d-8a601cbe04d0,T-625b8648-00fd-42be-b92d-8a601cbe04d0,?,onboarding-install-desktop,deleted,2026-05-23
N-T-4155cebc-4de7-4fa9-af6f-8f15c225e589,T-4155cebc-4de7-4fa9-af6f-8f15c225e589,?,onboarding-event-reminders,deleted,2026-05-23
N-T-4dbd39c5-47ed-4a5a-b8fe-a47431e3520f,T-4dbd39c5-47ed-4a5a-b8fe-a47431e3520f,?,onboarding-calendar-1,deleted,2026-05-23
N-T-2f9e6594-7b06-411a-bcba-826a0b74780e,T-2f9e6594-7b06-411a-bcba-826a0b74780e,?,onboarding-calendar-2,deleted,2026-05-23
N-T-3e0ef69d-f17a-4266-98c6-16713b83a2de,T-3e0ef69d-f17a-4266-98c6-16713b83a2de,?,onboarding-plan-tomorrow,deleted,2026-05-23
N-T-69a5c167-e3df-486b-adb9-522f254c5412,T-69a5c167-e3df-486b-adb9-522f254c5412,?,onboarding-habits,deleted,2026-05-23
N-T-2b7f7007-c160-46fb-b481-3efb747847e7,T-2b7f7007-c160-46fb-b481-3efb747847e7,?,onboarding-zeigarnik,deleted,2026-05-23
N-T-3cc87101-344d-4b8f-ba50-e40391323225,T-3cc87101-344d-4b8f-ba50-e40391323225,?,onboarding-checklist-usage,deleted,2026-05-23
N-T-35c55695-518b-4425-b472-c1d346dca0aa,T-35c55695-518b-4425-b472-c1d346dca0aa,?,onboarding-multi-device,deleted,2026-05-23
N-T-4e9115a4-6adc-4f64-9b41-20fc140f5523,T-4e9115a4-6adc-4f64-9b41-20fc140f5523,?,onboarding-social-channels,deleted,2026-05-23
N-T-5ec546ac-a2a4-4e36-af01-53b69cad3bfa,T-5ec546ac-a2a4-4e36-af01-53b69cad3bfa,?,onboarding-task-params,deleted,2026-05-23
N-T-4a8cf360-9cff-4ac0-9b70-4cfd4ff63602,T-4a8cf360-9cff-4ac0-9b70-4cfd4ff63602,Работа,Jira-тикеты CHECK (попушить тестировщика / Вова взял),reformat,2026-05-23
N-T-70dfc003-02fa-4866-8170-79b6fae79e06,T-70dfc003-02fa-4866-8170-79b6fae79e06,?,Личные планы (тату/коронка/глаза/автошкола),reformat,2026-05-23
N-T-25001e7e-8f2f-4d25-8cb8-5dd15de77190,T-25001e7e-8f2f-4d25-8cb8-5dd15de77190,?,Ресурсы SingularityApp (онбординг - переклассифицирован),deleted,2026-05-23
N-T-26c3ffe5-7215-4ec9-8bd5-763b863fb2ad,T-26c3ffe5-7215-4ec9-8bd5-763b863fb2ad,?,Создание проектов (онбординг - переклассифицирован),deleted,2026-05-23
