file,scope,A1_dupcorrect,A2_xlinks,A3_parity,A4_balance,A5_sections,B6_freshness,B7_code,C9_load,notes
ai-ml/agentic-patterns-interview,FILE,,PASS,PASS,A8+B8+C7+D7,,OK,OK,LOAD-OK,
ai-ml/agentic-patterns-interview,Q1,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q2,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q3,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q4,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q5,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q6,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q7,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q8,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q9,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q10,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q11,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q12,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q13,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q14,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q15,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q16,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q17,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q18,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q19,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q20,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q21,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q22,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q23,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q24,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q25,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q26,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q27,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q28,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q29,PASS,PASS,,,PASS,OK,OK,,
ai-ml/agentic-patterns-interview,Q30,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,FILE,,PASS,PASS,A7+B7+C7+D7,,OK,OK,LOAD-OK,
ai-ml/ai-agents-interview,Q1,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q2,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q3,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q4,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q5,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q6,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q7,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q8,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q9,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q10,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q11,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q12,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q13,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q14,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q15,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q16,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q17,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q18,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q19,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q20,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q21,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q22,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q23,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q24,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q25,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q26,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q27,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-agents-interview,Q28,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,FILE,,PASS,PASS,A8+B8+C8+D8,,OK,OK,LOAD-OK,
ai-ml/ai-application-architecture-interview,Q1,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q2,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q3,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q4,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q5,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q6,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q7,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q8,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q9,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q10,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q11,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q12,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q13,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q14,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q15,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q16,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q17,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q18,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q19,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q20,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q21,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q22,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q23,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q24,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q25,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q26,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q27,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q28,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q29,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q30,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-application-architecture-interview,Q31,PASS,PASS,,,PASS,OK,OK,,
